system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_vehicles
428.4,57,1204.7999999999997,3.899029126213592,9.481919970416502,309
428.5,57,1210.4999999999998,3.9174757281553396,9.48295422840281,309
428.6,57,1216.2000000000003,3.948701298701298,9.464337678168596,308
428.7,57,1221.8999999999996,3.9672077922077924,9.46370294777089,308
428.8,57,1227.6000000000006,3.9986970684039087,9.44660344297599,307
428.9,57,1233.2999999999997,4.017263843648209,9.443397698130175,307
429.0,57,1238.9999999999998,4.049019607843137,9.42254362033334,306
429.1,57,1244.7000000000003,4.067647058823529,9.422585024144752,306
429.2,57,1250.3999999999996,4.086274509803922,9.416575503984708,306
429.3,57,1256.1000000000004,4.118360655737705,9.398227717153295,305
429.4,57,1261.7999999999997,4.137049180327869,9.400110941852583,305
429.5,57,1267.4999999999998,4.1694078947368425,9.39305273561871,304
429.6,57,1273.2000000000003,4.188157894736841,9.395536649951403,304
429.7,57,1278.8999999999996,4.206907894736842,9.402622160514724,304
429.8,57,1284.6000000000004,4.239603960396039,9.384987003382575,303
429.9,57,1290.2999999999997,4.258415841584159,9.387744516331008,303
430.0,57,1295.9999999999998,4.2772277227722775,9.39063311478754,303
430.1,57,1301.7000000000003,4.240065146579804,9.451088600239329,307
430.2,58,1307.4999999999998,4.272875816993464,9.428672752247477,306
430.3,58,1313.3000000000004,4.320065789473684,9.406948724519028,304
430.4,58,1319.1,4.339144736842105,9.404471553330433,304
430.5,58,1324.8999999999996,4.358223684210526,9.403777305980848,304
430.6,58,1330.7000000000003,4.377302631578947,9.40094649073515,304
430.7,58,1336.4999999999998,4.396381578947368,9.40268441314686,304
430.8,58,1342.3000000000004,4.444701986754967,9.379241511468571,302
430.9,58,1348.1,4.4639072847682115,9.375465548458811,302
431.0,58,1353.8999999999996,4.483112582781457,9.372801947347975,302
431.1,58,1359.7000000000005,4.517275747508305,9.356871048728435,301
431.2,58,1365.4999999999998,4.5365448504983386,9.351872556947304,301
431.3,58,1371.3000000000004,4.555813953488372,9.351118871216903,301
431.4,58,1377.0999999999997,4.575083056478405,9.349892862649703,301
431.5,58,1382.8999999999996,4.594352159468439,9.349180379964926,301
431.6,58,1388.7000000000005,4.629,9.325385563516921,300
431.7,58,1394.4999999999998,4.648333333333333,9.323587797521219,300
431.8,58,1400.3000000000004,4.667666666666666,9.32221680572004,300
431.9,58,1406.0999999999997,4.686999999999999,9.322254024198383,300
432.0,58,1411.8999999999996,4.737919463087248,9.285824509272262,298
432.1,58,1417.7000000000005,4.633006535947713,9.41121677469599,306
432.2,58,1423.4999999999998,4.667213114754098,9.389127753355835,305
432.3,58,1429.3000000000004,4.686229508196722,9.388119133790392,305
432.4,58,1435.0999999999995,4.705245901639344,9.38397319068464,305
432.5,58,1440.8999999999994,4.739802631578947,9.365803669831559,304
432.6,58,1446.7000000000005,4.758881578947369,9.36489769939276,304
432.7,58,1452.5,4.793729372937293,9.35298067710481,303
432.8,58,1458.3000000000006,4.812871287128713,9.351048843123506,303
432.9,58,1464.0999999999995,4.848013245033112,9.324826913835103,302
433.0,58,1469.8999999999996,4.8833887043189375,9.315964300624254,301
433.1,58,1475.7000000000005,4.90265780730897,9.314594166155933,301
433.2,58,1481.5,4.921926910299003,9.318664681105403,301
433.3,58,1487.3000000000004,4.941196013289037,9.317930670630007,301
433.4,59,1493.1999999999994,4.9607973421926905,9.311839963956768,301
433.5,59,1499.0999999999997,4.997,9.296244388478268,300
433.6,59,1505.0000000000005,5.016666666666667,9.29143038735333,300
433.7,59,1510.9,5.036333333333333,9.289729749444211,300
433.8,59,1516.8000000000004,5.056000000000001,9.291294761177625,300
433.9,60,1522.7999999999993,5.092976588628763,9.27307363931427,299
434.0,60,1528.7999999999995,5.1130434782608685,9.273685118755608,299
434.1,60,1534.8000000000004,5.065346534653466,9.350133328658268,303
434.2,60,1540.8000000000002,5.101986754966888,9.33732626945726,302
434.3,60,1546.8000000000004,5.138870431893689,9.33433620505771,301
434.4,61,1552.8999999999994,5.159136212624585,9.335281064122954,301
434.5,61,1558.9999999999995,5.196666666666666,9.317583578421981,300
434.6,61,1565.1000000000006,5.234448160535117,9.305288497025302,299
434.7,61,1571.2,5.2548494983277605,9.306269045113613,299
434.8,61,1577.3000000000004,5.275250836120402,9.308788864682471,299
434.9,61,1583.3999999999994,5.2956521739130435,9.314177904332565,299
435.0,61,1589.4999999999995,5.316053511705686,9.313838089477327,299
435.1,61,1595.6000000000006,5.3364548494983275,9.314923950498157,299
435.2,61,1601.7,5.374832214765101,9.305490350142298,298
435.3,61,1607.8000000000004,5.395302013422819,9.302675626985694,298
435.4,62,1613.9999999999995,5.434343434343434,9.28881878649777,297
435.5,62,1620.1999999999998,5.455218855218854,9.28446384389922,297
435.6,62,1626.4000000000003,5.476094276094276,9.285705214167564,297
435.7,62,1632.6,5.515540540540541,9.272000377826542,296
435.8,62,1638.8000000000004,5.5552542372881355,9.257911281235982,295
435.9,62,1644.9999999999995,5.576271186440678,9.259963572153847,295
436.0,62,1651.1999999999998,5.59728813559322,9.261800450498823,295
436.1,62,1657.4000000000003,5.5431438127090304,9.314197598274674,299
436.2,62,1663.6,5.563879598662208,9.316951194037193,299
436.3,62,1669.8000000000004,5.584615384615383,9.314905628020846,299
436.4,62,1675.9999999999995,5.605351170568562,9.3146127545257,299
436.5,62,1682.1999999999998,5.626086956521738,9.31227666487993,299
436.6,62,1688.4000000000003,5.6468227424749164,9.311260901149934,299
436.7,62,1694.6,5.6865771812080546,9.297631208705555,298
436.8,62,1700.8000000000004,5.726599326599326,9.285323674080026,297
436.9,62,1706.9999999999993,5.766891891891892,9.27128415280133,296
437.0,62,1713.1999999999998,5.8074576271186436,9.25017218937933,295
437.1,62,1719.4000000000005,5.828474576271187,9.251108816124358,295
437.2,62,1725.6,5.86938775510204,9.237386925696816,294
437.3,62,1731.8000000000004,5.89047619047619,9.240635221241297,294
437.4,62,1737.9999999999993,5.91156462585034,9.242346897706469,294
437.5,62,1744.1999999999998,5.952901023890784,9.233575827587517,293
437.6,62,1750.4000000000005,5.974061433447099,9.233631114600568,293
437.7,62,1756.6,5.995221843003413,9.233027439645237,293
