,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
360,360.0,137,14739.0,71.89756097560975,3.510940468464787,5,16,56,2
361,361.0,138,14859.0,71.78260869565217,3.382346744456898,5,16,56,2
362,362.0,140,14983.0,72.03365384615384,3.2849196214424268,6,16,56,3
363,363.0,139,15101.0,72.60096153846153,3.135646696373194,8,16,57,1
364,364.0,139,15223.0,72.83732057416267,3.047548510760715,8,16,56,1
365,365.0,139,15347.0,73.08095238095238,2.963751154701488,9,16,56,1
366,366.0,138,15465.0,73.64285714285714,2.869627937561868,8,16,57,1
367,367.0,140,15596.0,73.91469194312796,2.788031500783949,9,16,57,1
368,368.0,141,15722.0,74.16037735849056,2.7183429323226176,10,16,57,1
369,369.0,143,15851.0,74.41784037558685,2.7554346745665916,11,16,58,1
370,370.0,148,15984.0,74.69158878504673,2.7531879290062333,12,17,59,2
371,371.0,148,16117.0,74.96279069767442,2.8609240624063914,11,17,59,3
372,372.0,152,16268.0,75.31481481481481,2.948873644246993,13,17,59,3
373,373.0,154,16421.0,75.67281105990783,3.0341076130293922,13,17,60,3
