system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
361.0,206,2185.0,3.735042735042735,4.207656382287229
362.0,209,2204.0,3.7804459691252146,4.20839611035958
363.0,201,2087.0,3.5859106529209623,4.221949033454205
364.0,207,2004.0,3.4315068493150687,4.2266154955355555
365.0,203,1915.0,3.2847341337907374,4.247659830688493
366.0,200,1891.0,3.2547332185886404,4.234955857702451
367.0,203,1907.0,3.2710120068610635,4.247208634293704
368.0,201,1882.0,3.228130360205832,4.277270512515406
369.0,202,1899.0,3.2517123287671232,4.3387832748013615
370.0,202,1915.0,3.279109589041096,4.319496302642107
371.0,206,1967.0,3.379725085910653,4.346634335579662
372.0,207,1953.0,3.3499142367066894,4.347113587031316
373.0,206,1960.0,3.3619210977701544,4.295858139625461
374.0,198,1915.0,3.2847341337907374,4.238629766848063
375.0,204,1941.0,3.317948717948718,4.204406389258039
376.0,209,1970.0,3.356047700170358,4.211627373057145
377.0,209,2031.0,3.442372881355932,4.236685414966612
378.0,216,2079.0,3.5297113752122242,4.213368089050517
379.0,215,2150.0,3.6195286195286194,4.291745393144701
380.0,216,2121.0,3.5707070707070705,4.270407653528946
381.0,217,2149.0,3.5936454849498327,4.291263438130544
382.0,226,2170.0,3.6348408710217757,4.216188270010385
383.0,230,2245.0,3.7604690117252932,4.183987872057538
384.0,231,2277.0,3.795,4.144599243545617
385.0,235,2305.0,3.8289036544850497,4.162472007585488
386.0,237,2384.0,3.940495867768595,4.095102944552001
387.0,237,2453.0,4.034539473684211,4.0844161392452465
388.0,240,2498.0,4.122112211221122,3.994889384793068
389.0,240,2554.0,4.19376026272578,4.027670609070752
390.0,244,2631.0,4.334431630971993,3.9805875385644414
391.0,245,2678.0,4.382978723404255,3.998566478867334
392.0,248,2640.0,4.342105263157895,3.908799351863362
393.0,252,2659.0,4.344771241830065,3.9243914885599276
394.0,256,2669.0,4.382594417077176,3.836690908775806
395.0,249,2645.0,4.336065573770492,3.8893751193605732
396.0,249,2592.0,4.25615763546798,3.920749610372551
397.0,251,2585.0,4.230769230769231,4.020338191834698
398.0,252,2604.0,4.261865793780688,4.0752240356324
399.0,243,2610.0,4.271685761047463,4.118376885954211
400.0,247,2553.0,4.157980456026059,4.166077543401646
401.0,248,2554.0,4.159609120521172,4.169058652932995
402.0,250,2560.0,4.183006535947713,4.166504746652467
403.0,254,2604.0,4.220421393841167,4.223118180216684
404.0,259,2671.0,4.336038961038961,4.201987317240294
405.0,263,2711.0,4.38673139158576,4.2998407684334286
406.0,263,2740.0,4.477124183006536,4.237597597416095
407.0,268,2818.0,4.574675324675325,4.329318183323037
408.0,263,2826.0,4.617647058823529,4.328441256092677
409.0,265,2883.0,4.695439739413681,4.39901486337017
410.0,260,2876.0,4.707037643207856,4.336214150765261
411.0,259,2867.0,4.684640522875817,4.295796041119744
412.0,253,2822.0,4.611111111111111,4.225108733482052
413.0,241,2785.0,4.573070607553366,4.138956183796641
414.0,237,2717.0,4.46875,4.080054969533875
415.0,234,2687.0,4.4194078947368425,4.100819249343489
416.0,228,2602.0,4.28665568369028,4.0922400053261825
417.0,228,2561.0,4.219110378912685,4.162490233174724
418.0,223,2494.0,4.129139072847682,4.183400454860295
419.0,222,2471.0,4.077557755775578,4.193843517695541
420.0,215,2386.0,3.9503311258278146,4.150621836182172
421.0,213,2242.0,3.705785123966942,4.218578963325201
422.0,211,2141.0,3.544701986754967,4.209973452117535
423.0,207,2072.0,3.4135090609555188,4.222116532961051
424.0,206,1976.0,3.271523178807947,4.142559033103371
425.0,207,1899.0,3.128500823723229,4.151227495472484
426.0,208,1913.0,3.172470978441128,4.098354496893557
427.0,215,1989.0,3.293046357615894,4.0885270739746264
428.0,212,1961.0,3.2683333333333335,4.050053676123316
429.0,218,2019.0,3.3538205980066444,4.086560293610532
430.0,219,2072.0,3.4648829431438126,4.088826323926176
431.0,230,2175.0,3.6189683860232944,4.142828992732567
432.0,230,2254.0,3.750415973377704,4.155857359530558
433.0,235,2297.0,3.8156146179401995,4.2571364467255535
434.0,228,2374.0,3.9435215946843853,4.30035431002549
435.0,230,2450.0,4.049586776859504,4.370953677814591
436.0,225,2476.0,4.079077429983526,4.371658258015284
437.0,224,2544.0,4.1636661211129296,4.376628977371167
438.0,225,2557.0,4.2055921052631575,4.326335802808775
439.0,232,2616.0,4.267536704730832,4.340735321457368
440.0,233,2623.0,4.271986970684039,4.337319534099364
441.0,233,2626.0,4.2699186991869915,4.333609811129359
442.0,239,2648.0,4.291734197730956,4.303953715734719
443.0,241,2680.0,4.343598055105349,4.2467252175237
444.0,242,2726.0,4.425324675324675,4.230299750656144
445.0,251,2786.0,4.486312399355878,4.172734531979805
446.0,254,2800.0,4.523424878836834,3.987754939687353
447.0,252,2787.0,4.466346153846154,3.8925458241480047
448.0,250,2714.0,4.356340288924558,3.70805123849292
449.0,254,2655.0,4.227707006369426,3.653646439533604
450.0,252,2531.0,4.056089743589744,3.5833028135740697
451.0,251,2452.0,3.9106858054226477,3.6854434333345365
452.0,247,2341.0,3.7217806041335453,3.723131870990436
453.0,245,2297.0,3.6402535657686212,3.8093726340004985
454.0,240,2207.0,3.5143312101910826,3.838525843644127
455.0,246,2207.0,3.503174603174603,3.9422654118992484
456.0,239,2133.0,3.380348652931854,4.010636866568051
457.0,244,2123.0,3.3591772151898733,4.148587057010275
458.0,239,2115.0,3.3518225039619653,4.212170969179023
459.0,235,2122.0,3.352290679304897,4.341749105586415
460.0,237,2235.0,3.5645933014354068,4.349268579866207
461.0,234,2267.0,3.5927099841521395,4.42165606230449
462.0,233,2325.0,3.708133971291866,4.3005486643031565
463.0,239,2388.0,3.8086124401913874,4.30330146115944
464.0,234,2388.0,3.8146964856230032,4.194076460469449
465.0,233,2439.0,3.9024,4.167327873639201
466.0,228,2474.0,3.990322580645161,4.030339844591315
467.0,228,2472.0,3.9806763285024154,3.9802356922097193
468.0,226,2394.0,3.867528271405493,3.9015419603888706
469.0,216,2336.0,3.779935275080906,3.9085766785434752
470.0,220,2318.0,3.7814029363784667,3.8578557054102487
471.0,226,2317.0,3.773615635179153,3.9198636005078042
472.0,224,2248.0,3.66721044045677,3.931694103712645
473.0,221,2196.0,3.5823817292006526,4.04734487831866
474.0,222,2118.0,3.477832512315271,4.056015411196743
475.0,219,2105.0,3.439542483660131,4.145959827118202
476.0,214,2085.0,3.418032786885246,4.146261590697996
477.0,210,2082.0,3.407528641571195,4.185731865313359
478.0,204,2042.0,3.3585526315789473,4.18656523505562
479.0,207,1996.0,3.2667757774140753,4.25402925555296
480.0,206,1922.0,3.1508196721311474,4.194966309873793
481.0,200,1872.0,3.053833605220228,4.160522826972634
482.0,208,1869.0,3.0689655172413794,4.0662070893973326
483.0,203,1870.0,3.080724876441516,3.997790123115976
484.0,204,1844.0,3.0479338842975205,3.960291543617248
485.0,201,1817.0,2.9934102141680397,3.9774513308075825
486.0,206,1840.0,3.036303630363036,3.9749139816374996
487.0,210,1829.0,3.0032840722495897,4.028555954830245
488.0,208,1818.0,2.9901315789473686,4.063606868581312
489.0,213,1832.0,2.9983633387888706,4.153351314073546
490.0,216,1849.0,3.0261865793780687,4.1661287985260795
491.0,210,1871.0,3.042276422764228,4.254726456322412
492.0,211,1860.0,3.0145867098865478,4.292154077420272
493.0,218,1938.0,3.1207729468599035,4.318962603680553
494.0,218,1945.0,3.132045088566828,4.278963370813109
495.0,226,2025.0,3.250401284109149,4.230672683395654
496.0,226,2053.0,3.274322169059011,4.190197537585892
497.0,231,2105.0,3.3465818759936408,4.174193482826828
498.0,234,2193.0,3.4699367088607596,4.124933820903609
499.0,244,2304.0,3.6283464566929133,4.087863093893331
500.0,245,2389.0,3.774091627172196,4.010804097949114
501.0,252,2498.0,3.903125,3.969131347115327
502.0,257,2551.0,3.998432601880878,3.9071871482142697
503.0,260,2572.0,4.0124804992199685,3.8911119118206186
504.0,262,2598.0,4.059375,3.825102831406636
505.0,265,2639.0,4.110591900311526,3.863924939583104
506.0,266,2687.0,4.1918876755070205,3.8506682033741013
507.0,268,2707.0,4.203416149068323,3.9210704565526675
508.0,264,2631.0,4.091757387247278,3.9041858223727104
509.0,261,2576.0,3.9937984496124033,3.9781324259731554
510.0,254,2517.0,3.908385093167702,4.007270475827689
511.0,255,2494.0,3.872670807453416,4.0996206849143375
